Satisfaction,Age,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Arrival Delay in Minutes,Female,Male,Disloyal Customer,Loyal Customer,Business Travel,Personal Travel,Business,Eco,Eco Plus
0,68,762,1,1,1,1,5,5,5,5,3,2,5,4,4,5,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,25,1635,5,0,5,3,1,5,1,1,1,3,4,5,2,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,45,1632,2,2,2,2,5,4,4,5,5,5,5,3,5,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,36,2809,3,3,3,2,5,3,5,5,1,5,3,4,3,5,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,40,3106,0,0,0,4,2,3,3,1,1,1,1,4,1,2,14.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,53,1853,3,3,3,3,4,4,4,4,4,5,4,5,4,3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,30,1707,3,3,3,3,1,3,1,1,2,3,3,4,2,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,27,4471,2,2,5,2,4,4,4,4,4,3,2,4,2,4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,28,2574,5,1,1,1,5,5,5,5,4,5,3,3,4,5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,27,2124,1,1,4,1,2,2,2,2,3,5,4,4,4,2,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,33,1804,3,2,3,3,3,3,5,3,4,2,2,4,3,3,89.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1,47,3590,2,1,4,4,3,4,3,2,2,2,2,2,2,4,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,21,2062,4,4,4,4,2,4,4,5,5,5,5,4,5,5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,50,3856,5,5,5,5,5,5,5,4,4,4,4,4,4,4,12.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,7,1927,0,0,0,4,4,5,1,4,4,4,4,2,4,4,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,30,2788,3,3,3,3,5,3,5,5,1,4,2,4,4,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,34,1023,1,3,3,3,4,3,3,1,1,2,1,2,1,2,14.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,36,1219,3,3,3,3,3,3,2,3,4,5,3,4,3,3,25.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,33,2659,5,5,5,5,2,4,5,5,5,5,5,5,5,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,43,1587,4,4,4,4,4,4,5,5,5,5,5,4,5,5,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,13,2095,3,2,2,4,2,2,2,2,3,5,3,2,4,2,99.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,37,2017,2,1,2,3,1,2,1,1,4,3,4,3,4,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,58,2875,4,4,4,1,1,4,1,1,1,5,2,4,2,1,19.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,41,2101,3,3,3,3,2,5,5,5,5,5,5,3,5,3,11.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,50,433,4,4,4,4,5,4,5,4,4,4,4,5,4,4,29.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,57,2368,0,4,0,4,3,5,4,5,5,5,5,4,5,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,38,79,5,5,5,5,3,2,3,4,4,4,5,3,4,2,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,39,1723,2,2,2,4,1,2,1,1,2,2,3,1,4,1,58.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1,22,2524,2,3,3,2,1,3,1,1,1,3,3,3,3,1,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,61,476,3,5,3,4,3,1,5,4,4,3,4,2,4,1,21.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,26,1828,5,5,5,5,3,3,5,4,4,4,4,4,4,3,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,26,2143,2,5,2,4,5,2,2,5,4,3,5,4,5,5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,39,2115,5,5,1,5,3,5,4,5,5,5,5,1,5,2,41.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,48,1610,3,2,2,2,3,3,2,2,2,3,2,1,2,1,91.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,48,693,4,4,4,4,3,5,4,4,4,4,4,4,4,3,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,58,1030,4,4,4,4,2,4,4,4,4,5,4,4,4,4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,41,1242,5,1,3,1,5,5,5,5,1,5,2,5,1,5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,62,2318,2,2,2,1,1,2,1,1,4,2,5,3,5,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,10,2548,1,1,1,1,3,1,3,3,4,3,3,3,4,3,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,69,442,5,4,5,5,3,4,4,5,5,5,5,3,5,4,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0,58,3886,1,1,1,1,5,4,5,5,5,5,5,5,5,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,33,2401,3,4,3,3,5,5,4,5,5,5,5,4,5,5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,27,2319,2,1,2,4,1,2,1,1,3,1,3,1,3,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,56,2504,3,4,4,4,3,3,3,4,1,3,4,3,2,3,145.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,39,2292,4,4,4,1,3,4,3,3,5,4,5,4,5,3,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,37,248,5,5,5,5,5,5,5,4,4,4,4,3,4,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,27,2688,2,4,2,3,2,2,2,2,3,3,5,5,4,2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,60,573,4,5,5,5,4,3,3,4,4,4,4,3,4,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,41,2145,4,1,1,1,4,4,4,4,4,1,4,4,2,4,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1,20,1960,2,2,2,4,5,2,3,5,4,5,3,1,3,5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,66,1639,3,2,2,2,3,3,3,3,3,3,4,1,3,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,54,485,5,4,4,4,5,5,5,5,3,2,5,1,2,5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,48,2657,4,4,4,4,5,4,5,4,4,4,4,3,4,4,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,54,412,5,5,5,5,1,4,4,5,5,5,5,1,5,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,32,4790,3,5,3,3,3,2,2,5,4,3,4,2,3,2,33.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,53,3195,1,1,1,1,2,4,5,3,3,4,3,4,3,5,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,30,3148,1,1,1,3,1,1,1,1,4,4,5,3,5,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,34,1989,4,1,4,3,3,4,2,3,4,2,3,2,3,3,47.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,55,3794,3,3,5,3,4,4,4,4,4,4,4,4,4,3,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,40,1655,1,1,1,2,5,1,5,5,4,3,5,4,4,5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,40,1972,2,2,2,3,1,2,1,1,4,1,4,1,4,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,15,2115,2,1,2,3,2,4,4,3,4,4,4,4,3,4,239.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,53,908,2,2,1,2,4,4,4,4,1,1,3,4,5,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,48,1997,4,4,4,4,5,1,2,2,2,4,2,4,2,2,31.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1,34,1966,3,3,3,3,3,3,1,3,2,2,3,2,4,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,26,1448,5,2,5,3,1,5,1,1,4,5,5,3,4,1,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,50,1104,2,2,2,2,3,5,4,5,5,5,5,4,5,4,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,61,1893,4,5,4,2,4,4,4,4,5,2,4,4,4,4,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,61,94,0,4,0,1,5,0,5,5,4,2,3,4,4,5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,43,2967,3,2,2,2,3,3,2,3,3,3,3,3,3,2,13.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,40,2297,2,3,2,2,1,2,1,1,2,1,3,2,2,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,57,439,2,1,1,1,4,4,3,1,1,2,1,4,1,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,55,2994,2,2,2,2,4,4,4,5,5,5,5,4,5,4,31.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,45,3176,2,3,5,5,1,3,3,2,2,2,2,1,2,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,66,2671,1,2,2,2,1,1,1,1,4,5,4,1,4,1,79.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,46,3959,5,5,5,5,5,5,4,4,4,4,4,4,4,5,13.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,36,1738,1,1,1,1,5,4,2,5,5,5,5,2,5,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,26,2636,4,4,4,4,2,4,2,2,1,2,3,1,5,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,40,2181,4,4,4,3,1,4,4,1,5,3,3,3,5,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,24,4814,1,4,1,1,4,4,4,4,5,2,4,3,5,4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,38,3578,5,5,4,5,5,5,5,5,4,5,5,5,5,5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,33,2414,1,5,1,3,2,1,2,2,3,5,2,3,1,2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0,30,2131,4,4,4,4,5,5,5,5,5,2,5,3,5,5,60.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,26,2112,2,2,2,2,4,2,4,4,4,1,1,1,1,4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,21,1972,3,0,3,1,2,3,2,2,3,3,5,4,4,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,52,4539,3,3,3,3,3,3,3,5,2,5,5,3,3,3,217.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,47,3012,2,2,2,2,2,5,4,5,5,5,5,5,5,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,23,3977,5,5,5,5,5,5,5,5,1,2,4,3,1,5,14.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,43,1768,4,4,4,4,4,4,4,4,4,1,3,1,1,4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,25,2066,2,2,2,3,5,2,5,5,3,5,4,1,3,5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,46,332,4,4,4,4,5,5,1,4,4,4,4,5,4,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1,59,1454,2,4,2,3,3,2,1,3,1,5,4,3,3,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,28,3005,5,5,3,5,4,4,4,4,5,5,5,3,5,4,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,29,2645,1,1,1,1,1,2,1,1,2,1,3,1,3,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,21,1388,5,0,5,1,5,5,5,5,4,5,2,5,5,5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,45,1651,5,5,5,5,4,4,4,5,5,5,5,3,5,5,62.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,22,5036,2,4,4,4,2,3,2,2,1,3,1,2,2,2,29.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,36,1289,3,2,4,4,3,4,3,3,4,2,4,2,3,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,30,2211,4,4,4,4,5,5,5,5,5,5,4,3,5,5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,29,2059,3,3,3,3,1,3,5,1,3,4,4,4,5,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,50,2025,3,3,4,3,1,1,5,3,3,3,3,2,3,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,59,93,1,1,1,1,5,2,1,4,4,4,4,1,4,5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0,38,636,5,5,5,5,4,5,5,3,3,3,3,4,3,5,118.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,57,740,2,2,2,2,4,4,4,4,4,4,4,4,4,4,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,27,2498,2,1,3,4,5,3,5,5,1,5,4,2,3,5,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,50,1662,2,2,2,2,3,4,4,4,4,5,4,5,4,4,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,22,3898,4,5,2,2,4,4,4,4,1,4,1,4,2,4,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,24,1622,1,1,1,2,4,1,4,4,3,5,4,5,5,4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,52,3504,4,1,1,1,4,4,4,4,3,3,5,4,1,4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,67,2166,2,5,2,3,4,2,4,4,4,5,3,1,4,4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
